Date,AAPL,AMZN,GOOGL,META,MSFT
2019-01-02,38.04704284667969,76.95649719238281,52.73400115966797,135.67999267578125,96.63265991210938
2019-01-03,34.25727844238281,75.01399993896484,51.27349853515625,131.74000549316406,93.07772827148438
2019-01-04,35.719703674316406,78.76950073242188,53.903499603271484,137.9499969482422,97.4067153930664
2019-01-07,35.64019775390625,81.47550201416016,53.79600143432617,138.0500030517578,97.53095245361328
2019-01-08,36.31960678100586,82.8290023803711,54.26850128173828,142.52999877929688,98.23810577392578
2019-01-09,36.936378479003906,82.97100067138672,54.08250045776367,144.22999572753906,99.64287567138672
2019-01-10,37.05443572998047,82.81099700927734,53.94150161743164,144.1999969482422,99.00260925292969
2019-01-11,36.69062805175781,82.02799987792969,53.2234992980957,143.8000030517578,98.23810577392578
2019-01-14,36.138912200927734,80.8604965209961,52.57550048828125,145.38999938964844,97.5213851928711
2019-01-15,36.8785514831543,83.72799682617188,54.32550048828125,148.9499969482422,100.35002899169922
2019-01-16,37.3290901184082,84.18900299072266,54.47549819946289,147.5399932861328,100.70361328125
2019-01-17,37.55073547363281,84.66100311279297,54.95600128173828,148.3000030517578,101.41078186035156
2019-01-18,37.78202438354492,84.80999755859375,55.3650016784668,150.0399932861328,102.93022155761719
2019-01-22,36.93396759033203,81.6084976196289,53.93149948120117,147.57000732421875,100.99031829833984
2019-01-23,37.08333969116211,82.0009994506836,54.22050094604492,144.3000030517578,101.97461700439453
2019-01-24,36.78940963745117,82.74649810791016,54.20000076293945,145.8300018310547,101.48722076416016
2019-01-25,38.008487701416016,83.52850341796875,55.07550048828125,149.00999450683594,102.4141845703125
2019-01-28,37.6567497253418,81.89450073242188,53.99300003051758,147.47000122070312,100.41693878173828
2019-01-29,37.26643753051758,79.69400024414062,53.50299835205078,144.19000244140625,98.37188720703125
2019-01-30,39.81304168701172,83.52149963378906,54.89950180053711,150.4199981689453,101.65923309326172
2019-01-31,40.099735260009766,85.9365005493164,56.294498443603516,166.69000244140625,99.79576110839844
2019-02-01,40.119014739990234,81.3115005493164,55.930999755859375,165.7100067138672,98.21900177001953
2019-02-04,41.25859451293945,81.66549682617188,57.07099914550781,169.25,101.04765319824219
2019-02-05,41.96450424194336,82.94049835205078,57.59349822998047,171.16000366210938,102.46195983886719
2019-02-06,41.97896194458008,82.01300048828125,56.144500732421875,170.49000549316406,101.32476806640625
2019-02-07,41.18391036987305,80.71849822998047,55.295501708984375,166.3800048828125,100.59850311279297
2019-02-08,41.2322998046875,79.41100311279297,55.11899948120117,167.3300018310547,100.9807357788086
2019-02-11,40.99516677856445,79.55000305175781,55.10599899291992,165.7899932861328,100.57939147949219
2019-02-12,41.34843444824219,81.90049743652344,56.37900161743164,165.0399932861328,102.1466064453125
2019-02-13,41.17664337158203,82.0,56.43149948120117,164.07000732421875,102.0701675415039
2019-02-14,41.32666015625,81.13249969482422,56.459999084472656,163.9499969482422,102.15615844726562
2019-02-15,41.234718322753906,80.39749908447266,55.98149871826172,162.5,103.41759490966797
2019-02-19,41.35810852050781,81.37899780273438,56.32550048828125,162.2899932861328,103.36979675292969
2019-02-20,41.624263763427734,81.1050033569336,56.02949905395508,162.55999755859375,102.83238220214844
2019-02-21,41.38957214355469,80.97200012207031,55.21049880981445,160.0399932861328,105.00128936767578
2019-02-22,41.851707458496094,81.5780029296875,55.827999114990234,161.88999938964844,106.49845123291016
2019-02-25,42.15657424926758,81.6500015258789,55.86650085449219,164.6199951171875,107.09343719482422
2019-02-26,42.18077850341797,81.81999969482422,56.10049819946289,164.1300048828125,107.83243560791016
2019-02-27,42.31143569946289,82.05449676513672,56.144500732421875,162.80999755859375,107.65009307861328
2019-02-28,41.895259857177734,81.99150085449219,56.32749938964844,161.4499969482422,107.5157241821289
2019-03-01,42.335628509521484,83.58650207519531,57.42599868774414,162.27999877929688,107.99557495117188
2019-03-04,42.54855728149414,84.80850219726562,57.67100143432617,167.3699951171875,107.73645782470703
2019-03-05,42.471126556396484,84.62149810791016,58.45949935913086,171.25999450683594,107.19902801513672
2019-03-06,42.22676086425781,83.44750213623047,58.24700164794922,172.50999450683594,107.24700927734375
2019-03-07,41.73798751831055,81.29750061035156,57.54249954223633,169.1300048828125,105.94181060791016
2019-03-08,41.83719253540039,81.04000091552734,57.49850082397461,169.60000610351562,106.05696868896484
2019-03-11,43.286529541015625,83.53099822998047,58.9630012512207,172.07000732421875,108.28350067138672
2019-03-12,43.77287673950195,83.65499877929688,59.86249923706055,171.9199981689453,109.04165649414062
2019-03-13,43.966434478759766,84.54049682617188,59.952999114990234,173.3699951171875,109.88619995117188
2019-03-14,44.45519256591797,84.31099700927734,59.62649917602539,170.1699981689453,109.97256469726562
2019-03-15,45.033477783203125,85.61799621582031,59.51499938964844,165.97999572753906,111.23939514160156
2019-03-18,45.49320602416992,87.10749816894531,59.4275016784668,160.47000122070312,112.83248138427734
2019-03-19,45.1326789855957,88.09249877929688,60.12300109863281,161.57000732421875,112.90925598144531
2019-03-20,45.52708053588867,89.8635025024414,61.32149887084961,165.44000244140625,112.78450775146484
2019-03-21,47.203853607177734,90.96299743652344,61.80649948120117,166.0800018310547,115.3757095336914
2019-03-22,46.226341247558594,88.2385025024414,60.38249969482422,164.33999633789062,112.33345031738281
2019-03-25,45.66741180419922,88.71299743652344,59.86899948120117,166.2899932861328,112.91887664794922
2019-03-26,45.195587158203125,89.18800354003906,59.492000579833984,167.67999267578125,113.1587905883789
2019-03-27,45.602081298828125,88.28500366210938,58.9005012512207,165.8699951171875,112.06472778320312
